asin,title,rating,number_of_reviews,price,page,source
B0FJ92MZF9,Sony WH-1000XM6 The Best Wireless Noise Canceling Headphones - Midnight Blue,5.0,1.0,299.99,6,Amazon
B08LW4P9K4,WH-1000XM4 Wireless Noise CANCELING Overhead Headphones with MIC for P,4.5,630.0,440.17,6,Amazon
B08F4WX2PM,WH-1000XM4 Noise Cancelling Wireless Headphones - 30hr Battery Life - Over Ear Style - Optimised for Alexa and Google Assistant - Built-in mic for Calls - Silver,4.6,560.0,277.85,6,Amazon
B08LW4P9K4,WH-1000XM4 Wireless Noise CANCELING Overhead Headphones with MIC for P,4.5,630.0,440.17,7,Amazon
B08GKWXRF4,WH-1000XM4 Wireless Bluetooth Noise Canceling Over-Ear Headphones (Black) Bundle with 10000mAh Ultra-Portable LED Display Wireless Quick Charge Battery Bank (2 Items),4.7,1200.0,348.0,7,Amazon
B0FZP23ZS1,ULT WEAR Wireless Noise Cancelling Headphones with Wireless Audio Adapter -,,,148.0,7,Amazon
B07KY8G9NM,"Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headset, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel",4.5,4500.0,31.99,7,Amazon
B0CKF4W3PM,Noise Cancelling Headphones: Wireless Over Ear Bluetooth Headphones with 130H Playtime - Hi-Res Sound Custom EQ via App Deep Bass Comfort Fit Ear Cups for Travel Home Office,4.5,803.0,29.99,7,Amazon
B0GKGD4BYY,"OHR516 Active Noise Cancelling Headphones, Over Ear Wireless Bluetooth, 60H Playtime, 40mm Drivers, Low-Latency Mode, ENC Clear Calls, Foldable Comfortable Design (Black)",4.1,86.0,29.99,7,Amazon
B0B33PJMDS,Sony WH-1000XM5/S Wireless Industry Leading Noise Canceling Bluetooth Headphones (Renewed),4.3,345.0,197.97,7,Amazon
B098XGQS6G,"E7 Active Noise Cancelling Headphones Wireless Bluetooth Headphone with Microphone Deep Bass Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",4.3,7000.0,39.98,7,Amazon
B0FY562CBX,"NC95 Hybrid Active Noise Cancelling Headphones with Knob Control, 120H Playtime Over Ear Headphones Wireless Bluetooth 6.0, App Control, Hi-Res Audio, Comfort Fit, Clear Calls for Travel/Workout",4.5,1200.0,59.49,7,Amazon
B08F4XTS93,WH-1000XM4B Noise Cancelling Wireless Headphones - 30hr Battery Life - Over Ear Style - Optimised for Alexa and Google Assistant - Built-in mic for Calls - Black,4.6,4600.0,,7,Amazon
B0FZG46TYF,"Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth Headphones ANC, Hi-Res Audio, 60H Playtime, Deep Bass, 3.5MM Cable, Memory Foam Ear Cups for Work/Travel/Home/Office",4.7,70.0,59.99,7,Amazon
B0GKHQ89RJ,WH-1000XM6-SILVER Wireless Noise Cancelling Headphones with a 2 Year Amber Protection Plan (2025),,,428.0,7,Amazon
B0FV4HFMSG,"WH-1000XM6 The Best Noise Canceling Wireless Headphones, HD NC Processor QN3, 12 Microphones, Adaptive NC Optimizer, Mastered by Engineers, Studio-Quality, 30-Hour Battery with Deco Guide Bundle",4.4,9.0,428.0,7,Amazon
B07RM8WQKS,"WH-XB900N Wireless Noise Canceling Extra Bass Headphones, Gray",4.4,226.0,,7,Amazon
B0FDWSTC96,"Hybrid Active Noise Cancelling Headphones, Wireless ANC Bluetooth 5.4 Over Ear Headphones, Clear Calls, Deep Bass, 60H Playtime, Comfort Fit, Foldable Headset for Gym Travel Office Home Black",4.4,61.0,28.46,7,Amazon
B0CT6C579K,"Live 770NC - Wireless Over-Ear Headphones with True Adaptive Noise Cancelling with Smart Ambient, Up to 65 Hours of Battery Life, Comfort-fit Fabric Headband & Carrying Pouch (Blue)",4.6,1900.0,219.95,7,Amazon
